0,29,0.17130677
1,28,0.06694292
1,30,0.00143948
2,27,0.18330607
2,29,0.00241379
2,31,0.00155001
3,26,0.08363250
3,28,0.00589261
3,30,0.00061249
4,25,0.01879275
4,27,0.00635816
4,29,0.01471148
4,31,0.00001672
4,33,0.00000001
5,24,0.02752008
5,26,0.00232164
5,28,0.00690156
5,30,0.00044524
6,23,0.01257039
6,25,0.00313642
6,27,0.00194263
6,29,0.00702272
6,31,0.00003173
6,33,0.00000001
7,22,0.00303956
7,24,0.00167094
7,26,0.00377133
7,28,0.00254657
7,30,0.00006054
7,34,0.00000003
8,21,0.00339286
8,23,0.00039550
8,25,0.00208775
8,27,0.02981406
8,29,0.00006722
8,31,0.00001711
8,35,0.00000007
9,20,0.00111311
9,22,0.00055416
9,24,0.00060088
9,26,0.01218476
9,28,0.00131861
9,30,0.00000668
9,32,0.00000015
9,36,0.00000013
10,19,0.00012676
10,21,0.00018052
10,23,0.00191732
10,25,0.00251378
10,27,0.00095047
10,29,0.00008625
10,31,0.00000016
10,33,0.00000015
10,37,0.00000016
11,18,0.00000828
11,20,0.00001999
11,22,0.00060045
11,24,0.00594502
11,26,0.00037693
11,28,0.00011399
11,30,0.00000302
11,34,0.00000008
11,38,0.00000013
12,17,0.00000027
12,19,0.00000408
12,21,0.00005755
12,23,0.00184532
12,25,0.00464004
12,27,0.00070285
12,29,0.00000730
12,33,0.00000011
12,37,0.00000003
13,16,0.00000075
13,20,0.00000722
13,22,0.00017295
13,24,0.00170631
13,26,0.01929939
13,28,0.00005496
13,30,0.00000077
13,34,0.00000030
13,38,0.00000022
14,15,0.00000010
14,17,0.00000007
14,19,0.00000118
14,21,0.00001137
14,23,0.00020318
14,25,0.00616050
14,27,0.00911656
14,29,0.00000302
14,31,0.00000034
14,35,0.00000025
15,16,0.00000028
15,20,0.00000267
15,22,0.00001141
15,24,0.00055345
15,26,0.00390815
15,28,0.00167960
15,30,0.00000013
15,32,0.00000001
15,36,0.00000002
16,13,0.00000005
16,17,0.00000004
16,19,0.00000022
16,21,0.00000162
16,23,0.00002259
16,25,0.00055123
